('Time: ', '2017-04-29 03:24:02.050357', ' Temperature: ', 81.054000000000002)
('Time: ', '2017-04-29 03:24:02.050357', ' Humidity :', 40.927999999999997)
('Time: ', '2017-04-29 03:24:02.050357', ' Pressure:', 1011.1139999999999)
('Time: ', '2017-04-29 03:25:02.690851', ' Temperature: ', 80.835999999999984)
('Time: ', '2017-04-29 03:25:02.690851', ' Humidity :', 40.779999999999987)
('Time: ', '2017-04-29 03:25:02.690851', ' Pressure:', 1011.0980000000002)
('Time: ', '2017-04-29 03:26:03.331137', ' Temperature: ', 80.668000000000006)
('Time: ', '2017-04-29 03:26:03.331137', ' Humidity :', 40.400999999999996)
('Time: ', '2017-04-29 03:26:03.331137', ' Pressure:', 1011.1319999999999)
('Time: ', '2017-04-29 03:27:03.971438', ' Temperature: ', 80.921999999999997)
('Time: ', '2017-04-29 03:27:03.971438', ' Humidity :', 40.483000000000004)
('Time: ', '2017-04-29 03:27:03.971438', ' Pressure:', 1011.1659999999999)
('Time: ', '2017-04-29 03:28:04.611822', ' Temperature: ', 80.893000000000001)
('Time: ', '2017-04-29 03:28:04.611822', ' Humidity :', 40.410000000000004)
('Time: ', '2017-04-29 03:28:04.611822', ' Pressure:', 1011.1449999999999)
('Time: ', '2017-04-29 03:29:05.253912', ' Temperature: ', 81.042000000000002)
('Time: ', '2017-04-29 03:29:05.253912', ' Humidity :', 40.350000000000001)
('Time: ', '2017-04-29 03:29:05.253912', ' Pressure:', 1011.149)
('Time: ', '2017-04-29 03:30:05.894225', ' Temperature: ', 80.721000000000004)
('Time: ', '2017-04-29 03:30:05.894225', ' Humidity :', 40.334999999999994)
('Time: ', '2017-04-29 03:30:05.894225', ' Pressure:', 1011.213)
('Time: ', '2017-04-29 03:31:06.534821', ' Temperature: ', 80.931999999999988)
('Time: ', '2017-04-29 03:31:06.534821', ' Humidity :', 40.240000000000002)
('Time: ', '2017-04-29 03:31:06.534821', ' Pressure:', 1011.158)
('Time: ', '2017-04-29 03:32:07.126985', ' Temperature: ', 82.102000000000004)
('Time: ', '2017-04-29 03:32:07.126985', ' Humidity :', 39.879000000000005)
('Time: ', '2017-04-29 03:32:07.126985', ' Pressure:', 1011.1880000000003)
('Time: ', '2017-04-29 03:33:07.725867', ' Temperature: ', 82.984999999999999)
('Time: ', '2017-04-29 03:33:07.725867', ' Humidity :', 40.302999999999997)
('Time: ', '2017-04-29 03:33:07.725867', ' Pressure:', 1011.104)
('Time: ', '2017-04-29 03:34:08.338124', ' Temperature: ', 83.730000000000004)
('Time: ', '2017-04-29 03:34:08.338124', ' Humidity :', 39.635999999999996)
('Time: ', '2017-04-29 03:34:08.338124', ' Pressure:', 1011.1709999999999)
('Time: ', '2017-04-29 03:35:08.950293', ' Temperature: ', 84.197000000000003)
('Time: ', '2017-04-29 03:35:08.950293', ' Humidity :', 39.198999999999998)
('Time: ', '2017-04-29 03:35:08.950293', ' Pressure:', 1011.175)
('Time: ', '2017-04-29 03:36:09.590686', ' Temperature: ', 84.72999999999999)
('Time: ', '2017-04-29 03:36:09.590686', ' Humidity :', 38.902000000000001)
('Time: ', '2017-04-29 03:36:09.590686', ' Pressure:', 1011.2210000000001)
('Time: ', '2017-04-29 03:37:10.232727', ' Temperature: ', 85.008999999999986)
('Time: ', '2017-04-29 03:37:10.232727', ' Humidity :', 38.990000000000009)
('Time: ', '2017-04-29 03:37:10.232727', ' Pressure:', 1011.274)
('Time: ', '2017-04-29 03:38:10.872853', ' Temperature: ', 85.236000000000018)
('Time: ', '2017-04-29 03:38:10.872853', ' Humidity :', 39.209999999999994)
('Time: ', '2017-04-29 03:38:10.872853', ' Pressure:', 1011.335)
('Time: ', '2017-04-29 03:39:11.513313', ' Temperature: ', 85.509999999999991)
('Time: ', '2017-04-29 03:39:11.513313', ' Humidity :', 38.951999999999998)
('Time: ', '2017-04-29 03:39:11.513313', ' Pressure:', 1011.283)
('Time: ', '2017-04-29 03:40:12.116108', ' Temperature: ', 85.696999999999989)
('Time: ', '2017-04-29 03:40:12.116108', ' Humidity :', 39.270000000000003)
('Time: ', '2017-04-29 03:40:12.116108', ' Pressure:', 1011.2790000000001)
('Time: ', '2017-04-29 03:41:12.728319', ' Temperature: ', 85.945999999999984)
('Time: ', '2017-04-29 03:41:12.728319', ' Humidity :', 39.584000000000003)
('Time: ', '2017-04-29 03:41:12.728319', ' Pressure:', 1011.314)
('Time: ', '2017-04-29 03:42:13.328936', ' Temperature: ', 86.188999999999993)
('Time: ', '2017-04-29 03:42:13.328936', ' Humidity :', 39.561999999999998)
('Time: ', '2017-04-29 03:42:13.328936', ' Pressure:', 1011.3410000000001)
('Time: ', '2017-04-29 03:43:13.941065', ' Temperature: ', 86.275000000000006)
('Time: ', '2017-04-29 03:43:13.941065', ' Humidity :', 39.501000000000005)
('Time: ', '2017-04-29 03:43:13.941065', ' Pressure:', 1011.2790000000001)
('Time: ', '2017-04-29 03:44:14.581477', ' Temperature: ', 86.487999999999985)
('Time: ', '2017-04-29 03:44:14.581477', ' Humidity :', 38.833000000000006)
('Time: ', '2017-04-29 03:44:14.581477', ' Pressure:', 1011.2670000000001)
('Time: ', '2017-04-29 03:45:15.221671', ' Temperature: ', 86.531999999999996)
('Time: ', '2017-04-29 03:45:15.221671', ' Humidity :', 38.388999999999996)
('Time: ', '2017-04-29 03:45:15.221671', ' Pressure:', 1011.258)
('Time: ', '2017-04-29 03:46:15.862711', ' Temperature: ', 86.751000000000005)
('Time: ', '2017-04-29 03:46:15.862711', ' Humidity :', 39.443000000000005)
('Time: ', '2017-04-29 03:46:15.862711', ' Pressure:', 1011.2279999999998)
('Time: ', '2017-04-29 03:47:16.504816', ' Temperature: ', 86.681000000000012)
('Time: ', '2017-04-29 03:47:16.504816', ' Humidity :', 38.690999999999995)
('Time: ', '2017-04-29 03:47:16.504816', ' Pressure:', 1011.2)
('Time: ', '2017-04-29 03:48:17.126639', ' Temperature: ', 86.780999999999992)
('Time: ', '2017-04-29 03:48:17.126639', ' Humidity :', 38.972999999999999)
('Time: ', '2017-04-29 03:48:17.126639', ' Pressure:', 1011.1830000000002)
('Time: ', '2017-04-29 03:49:17.738900', ' Temperature: ', 86.905999999999992)
('Time: ', '2017-04-29 03:49:17.738900', ' Humidity :', 38.255000000000003)
('Time: ', '2017-04-29 03:49:17.738900', ' Pressure:', 1011.259)
('Time: ', '2017-04-29 03:50:18.351966', ' Temperature: ', 86.900999999999996)
('Time: ', '2017-04-29 03:50:18.351966', ' Humidity :', 39.209000000000003)
('Time: ', '2017-04-29 03:50:18.351966', ' Pressure:', 1011.176)
('Time: ', '2017-04-29 03:51:18.992378', ' Temperature: ', 87.022999999999996)
('Time: ', '2017-04-29 03:51:18.992378', ' Humidity :', 38.995000000000005)
('Time: ', '2017-04-29 03:51:18.992378', ' Pressure:', 1011.2180000000001)
('Time: ', '2017-04-29 03:52:19.632726', ' Temperature: ', 87.115999999999985)
('Time: ', '2017-04-29 03:52:19.632726', ' Humidity :', 39.241999999999997)
('Time: ', '2017-04-29 03:52:19.632726', ' Pressure:', 1011.2739999999998)
('Time: ', '2017-04-29 03:53:20.273019', ' Temperature: ', 87.182000000000002)
('Time: ', '2017-04-29 03:53:20.273019', ' Humidity :', 38.870000000000005)
('Time: ', '2017-04-29 03:53:20.273019', ' Pressure:', 1011.231)
('Time: ', '2017-04-29 03:54:20.913150', ' Temperature: ', 87.145999999999987)
('Time: ', '2017-04-29 03:54:20.913150', ' Humidity :', 38.837000000000003)
('Time: ', '2017-04-29 03:54:20.913150', ' Pressure:', 1011.241)
('Time: ', '2017-04-29 03:55:21.553357', ' Temperature: ', 87.242000000000004)
('Time: ', '2017-04-29 03:55:21.553357', ' Humidity :', 39.213000000000008)
('Time: ', '2017-04-29 03:55:21.553357', ' Pressure:', 1011.2079999999999)
('Time: ', '2017-04-29 03:56:22.194636', ' Temperature: ', 87.269999999999996)
('Time: ', '2017-04-29 03:56:22.194636', ' Humidity :', 38.892000000000003)
('Time: ', '2017-04-29 03:56:22.194636', ' Pressure:', 1011.3)
('Time: ', '2017-04-29 03:57:22.834971', ' Temperature: ', 87.213999999999999)
('Time: ', '2017-04-29 03:57:22.834971', ' Humidity :', 38.671000000000006)
('Time: ', '2017-04-29 03:57:22.834971', ' Pressure:', 1011.25)
('Time: ', '2017-04-29 03:58:23.475246', ' Temperature: ', 87.213999999999999)
('Time: ', '2017-04-29 03:58:23.475246', ' Humidity :', 38.837000000000003)
('Time: ', '2017-04-29 03:58:23.475246', ' Pressure:', 1011.2610000000001)
('Time: ', '2017-04-29 03:59:24.115617', ' Temperature: ', 87.346000000000004)
('Time: ', '2017-04-29 03:59:24.115617', ' Humidity :', 39.382999999999996)
('Time: ', '2017-04-29 03:59:24.115617', ' Pressure:', 1011.207)
('Time: ', '2017-04-29 04:00:24.755855', ' Temperature: ', 87.382999999999996)
('Time: ', '2017-04-29 04:00:24.755855', ' Humidity :', 39.155000000000001)
('Time: ', '2017-04-29 04:00:24.755855', ' Pressure:', 1011.1519999999998)
('Time: ', '2017-04-29 04:01:25.367974', ' Temperature: ', 87.503999999999991)
('Time: ', '2017-04-29 04:01:25.367974', ' Humidity :', 38.914000000000001)
('Time: ', '2017-04-29 04:01:25.367974', ' Pressure:', 1011.1930000000002)
('Time: ', '2017-04-29 04:02:25.980208', ' Temperature: ', 87.426000000000016)
('Time: ', '2017-04-29 04:02:25.980208', ' Humidity :', 39.513000000000005)
('Time: ', '2017-04-29 04:02:25.980208', ' Pressure:', 1011.0970000000001)
('Time: ', '2017-04-29 04:03:26.620424', ' Temperature: ', 87.544999999999987)
('Time: ', '2017-04-29 04:03:26.620424', ' Humidity :', 39.474000000000004)
('Time: ', '2017-04-29 04:03:26.620424', ' Pressure:', 1010.9829999999999)
('Time: ', '2017-04-29 04:04:27.260694', ' Temperature: ', 87.603999999999999)
('Time: ', '2017-04-29 04:04:27.260694', ' Humidity :', 39.415000000000006)
('Time: ', '2017-04-29 04:04:27.260694', ' Pressure:', 1010.9109999999998)
('Time: ', '2017-04-29 04:05:27.902581', ' Temperature: ', 87.716999999999999)
('Time: ', '2017-04-29 04:05:27.902581', ' Humidity :', 39.625999999999998)
('Time: ', '2017-04-29 04:05:27.902581', ' Pressure:', 1010.8069999999998)
('Time: ', '2017-04-29 04:06:28.544444', ' Temperature: ', 87.75500000000001)
('Time: ', '2017-04-29 04:06:28.544444', ' Humidity :', 39.683)
('Time: ', '2017-04-29 04:06:28.544444', ' Pressure:', 1010.783)
('Time: ', '2017-04-29 04:07:29.184944', ' Temperature: ', 87.751999999999995)
('Time: ', '2017-04-29 04:07:29.184944', ' Humidity :', 39.670000000000002)
('Time: ', '2017-04-29 04:07:29.184944', ' Pressure:', 1010.6910000000001)
('Time: ', '2017-04-29 04:08:29.825555', ' Temperature: ', 87.575000000000003)
('Time: ', '2017-04-29 04:08:29.825555', ' Humidity :', 39.043999999999997)
('Time: ', '2017-04-29 04:08:29.825555', ' Pressure:', 1010.6679999999999)
('Time: ', '2017-04-29 04:09:30.465660', ' Temperature: ', 87.881999999999991)
('Time: ', '2017-04-29 04:09:30.465660', ' Humidity :', 39.149000000000008)
('Time: ', '2017-04-29 04:09:30.465660', ' Pressure:', 1010.6030000000001)
('Time: ', '2017-04-29 04:10:31.077873', ' Temperature: ', 87.766999999999982)
('Time: ', '2017-04-29 04:10:31.077873', ' Humidity :', 39.257000000000005)
('Time: ', '2017-04-29 04:10:31.077873', ' Pressure:', 1010.5220000000002)
('Time: ', '2017-04-29 04:11:31.646970', ' Temperature: ', 87.786000000000001)
